Query Type,struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
Art,6,"(4, 4, 5)",0.4405288234353065,1.5688e-05,13.758101700000001,7.501358000000001
Geography,6,"(4, 4, 5)",0.6342036545276641,1.4455e-05,12.615069599999998,6.9920805
History,6,"(3, 4, 5)",0.4961814820766449,1.8465e-05,14.972224299999999,10.5372646
Music,0,"(4,)",0.4799861922860146,4.243e-06,3.5959623,2.5823365
Other,968,"(2, 0, 1, 2, 5)",0.40016310960054396,2.99705e-05,36.6406305,26.8230225
Politics,1,"(4, 3)",0.6112389847636223,1.0538999999999999e-05,9.5990555,10.8687809
Science and technology,52,"(1, 2, 2, 5)",0.4944110013544559,1.91245e-05,21.7518254,12.8608283
Sports,6,"(4, 4, 5)",0.6667628824710846,1.7352e-05,15.0346266,8.160423
TV shows,52,"(1, 1, 0, 5)",0.49819439053535464,1.79475e-05,24.1387368,16.3060214
Video games,7,"(4, 2, 5)",0.5842649221420289,2.1804e-05,22.1467263,21.773124700000004
biology_mmlu,6,"(0, 0, 5)",0.9,5.0004e-05,84.6637451,63.6410395
business_mmlu,5,"(4, 2, 3)",0.8,6.308199999999e-05,65.7023837,79.4155698
chemistry_mmlu,1,"(2, 4)",0.4,5.6515000000000004e-05,60.0908922,62.494706199999996
computer science_mmlu,1,"(1, 3)",0.7,3.5909e-05,48.473532,69.117304
health_mmlu,6,"(1, 1, 5)",0.9,5.23935e-05,72.66826019999999,51.95889100000001
history_mmlu,1,"(2, 4)",0.7,7.141699999998e-05,81.8630316,85.27231450000001
other_mmlu,1,"(3, 3)",0.6,2.7354000000000003e-05,26.2798588,37.6314952
philosophy_mmlu,6,"(3, 3, 5)",0.6,5.7572e-05,52.9287544,37.9523766
physics_mmlu,1,"(2, 3)",0.5,4.592e-05,51.404849999999996,70.6851345
psychology_mmlu,0,"(3,)",0.9,1.6116e-05,14.826767,21.231218000000002
