Query Type,struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
Art,0,"(1,)",0.4491825565695763,2.2055000000000003e-06,4.231351999999999,6.015
Geography,6,"(0, 4, 5)",0.6390356704592705,1.42108e-05,16.4320564,14.2989475
History,6,"(1, 1, 5)",0.4720851622521877,1.2093499999999999e-05,15.410464200000002,11.041911
Music,6,"(0, 4, 5)",0.5285238727927208,1.61096e-05,18.3701124,15.596157
Other,6,"(1, 3, 5)",0.3839016601443291,1.48195e-05,14.6255414,11.359418
Politics,0,"(4,)",0.6294559821486473,4.747e-06,4.0631870999999995,2.9178605
Science and technology,0,"(4,)",0.4719275414943695,3.864e-06,3.2705736,2.348668
Sports,1,"(4, 4)",0.665191924571991,1.193e-05,10.345692,7.429460000000001
TV shows,0,"(4,)",0.38554349243640895,3.894e-06,3.2205138,2.3127190000000004
Video games,0,"(4,)",0.5748732835054398,4.377e-06,3.6877386000000003,2.648243
biology_mmlu,0,"(4,)",1.0,2.5214e-05,21.959565599999998,15.769628
business_mmlu,0,"(2,)",0.8,1.9934e-05,24.97,33.2932501
chemistry_mmlu,1,"(3, 3)",0.3,3.5718e-05,35.510609,50.849486
computer science_mmlu,0,"(4,)",0.6,2.5753000000000002e-05,22.7188059,16.314854500000003
health_mmlu,0,"(2,)",0.7,1.5616e-05,23.64,31.5199212
history_mmlu,0,"(2,)",0.6,2.7357999999999998e-05,42.37,56.4931921
other_mmlu,0,"(4,)",0.6,1.7208e-05,15.2515524,10.952462
philosophy_mmlu,0,"(3,)",0.5,1.5222000000000001e-05,14.371588599999999,20.5794244
physics_mmlu,0,"(2,)",0.4,2.1844e-05,27.860000000000003,37.1465738
psychology_mmlu,0,"(3,)",0.9,1.6116e-05,14.826767,21.231218000000002
