Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,4.2,1.589348e-05,16.23925862,15.94514476,0.35435809038579463,0.35435806684196
Geography,3.4,9.061980000000001e-06,16.04022274,22.239120739999997,0.2986663465946912,0.25918360099196436
History,4.2,1.2317399999999998e-05,19.059636740000002,26.82215858,0.319071439653635,0.30203274711966516
Music,5.8,1.836846e-05,19.532674980000003,18.6754224,0.399572337269783,0.3995723335444927
Other,6.4,1.859984e-05,18.8423858,17.42779742,0.33021138459444044,0.33021139025688173
Politics,6.6,2.117214e-05,21.03556812,19.43471852,0.5043061631917953,0.5043061652779579
Science and technology,4.0,1.7238939999999998e-05,17.59951122,23.02121112,0.3538431468233466,0.3189067792892456
Sports,5.8,2.238254e-05,24.623175600000003,29.1087399,0.40665201365947723,0.38568256571888926
TV shows,6.4,2.13432e-05,20.47181254,22.187705,0.3365853164345026,0.32442742314189676
Video games,2.6,1.591936e-05,14.214149760000002,19.68424436,0.32600762903690333,0.3260076883435249
biology_mmlu,3.6,4.891386e-05,63.86772608,77.72088249999999,1.0,1.0
business_mmlu,5.8,6.459018e-05,78.17671942000001,85.87383344,0.7499088928103447,0.58
chemistry_mmlu,6.2,6.8350199999996e-05,81.06922274,82.15462732,0.48502834334969525,0.3
computer science_mmlu,4.6,6.4975199999998e-05,78.64030264,80.18814296000001,0.5764232846349477,0.5
health_mmlu,4.8,5.001776e-05,68.42418153999999,73.9706877,0.7988563281297684,0.7
history_mmlu,5.8,9.2260299999984e-05,120.72503132000001,131.08549398,0.5500338190793992,0.5
other_mmlu,4.2,3.659072e-05,50.90055138,63.57155164000001,0.6872667964547873,0.6
philosophy_mmlu,3.6,4.02558e-05,45.710528079999996,47.84680694,0.6113008147478103,0.5
physics_mmlu,3.4,3.609654e-05,45.76041236,47.72891456,0.4041076853498817,0.26
psychology_mmlu,4.8,4.890036e-05,60.76750914,69.63046282,0.9153015774488449,0.9
