Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,34.4,1.9826000000000003e-05,27.457652360000004,30.37348454,0.3703078359365463,0.37030782029032705
Geography,24.4,1.601176e-05,20.67726064,23.48493128,0.477835136950016,0.46965215474367145
History,20.0,1.798832e-05,20.012139339999997,23.690290320000003,0.34305094726383684,0.33503327272832395
Music,38.6,2.324692e-05,31.25597196,38.1006287,0.26720969080924983,0.2672097073122859
Other,35.8,2.357388e-05,28.85838768,34.4539889,0.2489813423901796,0.248981341868639
Politics,21.6,2.156688e-05,25.35621428,27.0822675,0.3774824235215783,0.3774824438989162
Science and technology,20.4,1.2490359999999999e-05,14.67424822,13.66588624,0.3672526917606592,0.3565984185039997
Sports,38.8,2.5176959999999997e-05,28.959725099999996,31.729596480000005,0.3982458624616265,0.39509549900889396
TV shows,33.0,2.243436e-05,25.884407160000002,29.556602320000003,0.29191789470613,0.2719727948307991
Video games,42.2,2.443724e-05,29.86852002,23.9979466,0.4582980501651764,0.4582980577647686
biology_mmlu,47.8,6.9738999999998e-05,121.26825982,126.26120003999999,1.0,1.0
business_mmlu,37.6,4.652772e-05,70.10501409999999,70.39138344,0.48306903392076495,0.3
chemistry_mmlu,27.4,4.557576e-05,75.09682366,90.09735133999999,0.46824603572487833,0.24
computer science_mmlu,29.0,4.980531999999799e-05,79.86158012000001,82.7026561,0.6101323185116052,0.5
health_mmlu,29.0,4.2606119999998e-05,64.95618362,66.11396634,0.7247109639644622,0.6199999999999999
history_mmlu,29.0,6.4401079999992e-05,117.65919804,129.21448984,0.5094259829074145,0.44000000000000006
other_mmlu,37.6,4.3036840000000004e-05,66.43129314,68.76297064,0.7429351229220629,0.6
philosophy_mmlu,29.0,3.9065439999999996e-05,64.67810062,65.52031242000001,0.5590437468886376,0.44000000000000006
physics_mmlu,29.0,3.863812e-05,65.11028794,70.24526976,0.42256308432668443,0.27999999999999997
psychology_mmlu,29.0,4.157507999999999e-05,65.04986122,69.1154425,0.8988585895299911,0.8800000000000001
