Query Type,struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
Art,0,"(1,)",0.4491825565695763,2.2055000000000003e-06,4.231351999999999,6.015
Geography,1,"(4, 3)",0.5915684998035431,7.889999999999999e-06,7.3851112,8.5382734
History,1,"(4, 3)",0.4949324678629637,9.937e-06,8.825565399999999,10.088744
Music,0,"(4,)",0.4799861922860146,4.243e-06,3.5959623,2.5823365
Other,0,"(4,)",0.3789892107248306,4.172e-06,3.4457829,2.4744895000000002
Politics,1,"(1, 3)",0.42204528152942655,1.0658999999999999e-05,11.306649400000001,16.1371396
Science and technology,0,"(4,)",0.4719275414943695,3.864e-06,3.2705736,2.348668
Sports,0,"(4,)",0.6572558999061584,4.34e-06,3.6793953000000004,2.6422515000000004
TV shows,0,"(4,)",0.38554349243640895,3.894e-06,3.2205138,2.3127190000000004
Video games,0,"(4,)",0.5748732835054398,4.377e-06,3.6877386000000003,2.648243
biology_mmlu,1,"(0, 0)",0.6,1.75712e-05,60.1494993,92.58216209999999
business_mmlu,0,"(2,)",0.7,2.0956e-05,25.7,34.266581
chemistry_mmlu,0,"(3,)",0.3,1.6998e-05,16.8148256,24.078022400000002
computer science_mmlu,0,"(3,)",0.4,1.8558e-05,17.9527716,25.7075064
health_mmlu,5,"(0, 0, 0)",0.2,2.20558e-05,78.2348853,120.41920409999997
history_mmlu,0,"(2,)",0.5,2.7987999999999997e-05,42.82,57.0931906
other_mmlu,0,"(4,)",0.6,1.7208e-05,15.2515524,10.952462
philosophy_mmlu,5,"(3, 0, 0)",0.5,2.9875999999999997e-05,65.5668271,99.3741551
physics_mmlu,0,"(2,)",0.4,2.1844e-05,27.860000000000003,37.1465738
psychology_mmlu,0,"(3,)",0.9,1.6116e-05,14.826767,21.231218000000002
