assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(4,)",0,Art,3.7750000000000003e-06,3.2789168999999996,2.3546595,0.41620954424142836,0.4162095107138157
"(3, 3, 3, 2, 5)",801,Art,3.7164999999999994e-05,32.782819,34.8797019,0.40066943466663363,0.4006693884730339
"(2, 2, 1, 5)",52,Art,2.1674e-05,24.033508,14.4601273,0.3957866355776787,0.39578662887215615
"(2, 1, 1, 5, 5)",967,Art,2.9285999999999997e-05,36.3254929,29.034071,0.39139353036880487,0.3913935378193855
"(0, 2, 0, 1, 5)",962,Art,2.38704e-05,39.030314100000005,44.296054100000006,0.3736179113388062,0.3736178658902645
"(3, 2, 2, 5, 3)",675,Geography,3.2922e-05,34.3583725,29.3801127,0.5814151138067245,0.5814150989055633
"(1,)",0,Geography,1.881e-06,3.608784,5.13,0.507219934463501,0.5072199270129204
"(3,)",0,Geography,2.9999999999999997e-06,2.4030742,3.4410868,0.45399228781461715,0.4539922833442688
"(4, 4)",1,Geography,9.623e-06,8.5185093,6.117321500000001,0.5837043941020965,0.5837044209241867
"(4,)",0,Geography,3.2879999999999997e-06,2.8534086,2.049093,0.5838881760835648,0.583888190984726
"(3, 3, 4, 5, 4)",693,History,4.236e-05,34.6765489,31.591499500000005,0.4309197083115578,0.43091970309615135
"(3, 3, 3, 5, 4)",689,History,4.1237e-05,32.8330245,34.9311887,0.427206002920866,0.4272060379385948
"(1,)",0,History,2.1835e-06,4.189144000000001,5.955,0.4200258754193783,0.42002589255571365
"(3, 4)",1,History,1.2998999999999999e-05,10.3447044,9.6793022,0.43202232718467715,0.4320223405957222
"(3, 4, 2, 5, 5)",1009,History,4.1491e-05,38.8323221,36.102297400000005,0.41554685682058334,0.4155468665063381
"(4, 0, 5)",6,Music,1.74128e-05,19.6301696,16.9773104,0.45979694873094556,0.4597969431430101
"(2, 1, 3, 4, 5)",838,Music,3.2017e-05,31.894185599999997,21.561350100000002,0.4528601363301277,0.4528601571917534
"(4, 3, 2, 4, 5)",836,Music,3.1914e-05,28.087603,14.4304169,0.44248797819018365,0.4424880210310221
"(4, 3, 1, 5)",60,Music,2.42855e-05,24.5036547,23.6300492,0.4417600926011801,0.441760104522109
"(2, 3, 5)",6,Music,1.9763e-05,17.5662061,13.3635458,0.4115848183631897,0.4115848407149315
"(4, 4)",1,Other,1.116e-05,9.644854800000001,6.9261740000000005,0.35215417891740797,0.35215423405170443
"(4, 2, 3, 3, 5)",961,Other,3.5975e-05,32.0214112,22.1544066,0.3508039712905884,0.3508040145039558
"(1, 2, 5)",7,Other,1.9124e-05,21.774520000000003,24.0611302,0.3414071083068847,0.3414071202278137
"(1, 3)",1,Other,9.471000000000001e-06,9.444103,13.481938,0.3061882525682449,0.3061882480978966
